,dg_spike_freq,time,subject,date,probe,pid
8,0.0735374332553411,1.125,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
9,0.003231009323775676,1.375,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
10,2.7404850890754094e-07,1.625,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
11,4.487207611577225e-14,1.875,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
12,1.4183531321098345e-23,2.125,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
13,1.4183531321098345e-23,2.375,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
14,4.487207611577225e-14,2.625,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
15,2.7404850890754094e-07,2.875,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
16,0.003231009323775676,3.125,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
17,0.0735374332553411,3.375,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
18,0.003231009323775676,3.625,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
19,2.7404850890754094e-07,3.875,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
0,0.003297227930902636,-0.875,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
1,0.07503819719937344,-0.625,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
2,0.003296948289612804,-0.375,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
3,5.592826712398794e-07,-0.125,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
4,0.003296948289612804,0.125,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
5,0.07503819719932765,0.375,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
6,0.0032969482895670163,0.625,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
7,2.796413356199397e-07,0.875,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
8,4.578783277119617e-14,1.125,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
9,1.4472991143977904e-23,1.375,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
10,1.4472991143977904e-23,1.625,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
11,4.578783277119617e-14,1.875,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
12,2.796413356199397e-07,2.125,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
13,0.0032969482895670163,2.375,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
14,0.07503819719937344,2.625,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
15,0.003297227930902636,2.875,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
16,0.003297227930902636,3.125,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
17,0.07503819719937344,3.375,ZFM-02601,2021-11-18,probe00,24dccee6-db86-405d-b7ed-99bd28fe2cfd
