,log_likelihood,n_states,region,subject,pid
6,-8453.909436763932,8,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
7,-8408.22059830901,9,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
8,-8384.651873214198,10,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
9,-8242.916518698168,11,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
10,-8248.651041855624,12,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
11,-8210.960018471296,13,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
12,-8159.93060307191,14,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
13,-8137.5564755851465,15,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
14,-8144.421629780258,16,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
15,-8109.319260659812,17,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
16,-8101.757070115624,18,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
17,-8090.460851490494,19,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
18,-8088.202944302677,20,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
0,-42622.82187765586,2,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
1,-41327.742905586565,3,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
2,-40442.635504082165,4,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
3,-39425.59646230767,5,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
4,-39505.14451399219,6,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
5,-38549.3455058921,7,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
6,-38405.09156406926,8,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
7,-38311.873456228335,9,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
8,-38073.65782887888,10,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
9,-37955.28063439582,11,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
10,-37805.36696422156,12,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
11,-37773.3661701948,13,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
12,-37525.30757769156,14,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
13,-37368.68872681534,15,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
14,-37405.41346946704,16,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
15,-37319.82817536239,17,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
16,-37175.16445654326,18,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
17,-37104.795693040054,19,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
18,-37097.88283955104,20,Hippocampus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
0,-203650.52608651193,2,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
1,-200467.44432792865,3,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
2,-198775.8098220355,4,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
3,-197728.70791035143,5,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
4,-196858.34972563133,6,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
5,-196219.21044819025,7,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
6,-195658.79020375173,8,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
7,-195069.2625264881,9,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
8,-194770.28120335995,10,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
9,-194243.55366160776,11,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
10,-193876.45669650164,12,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
11,-193700.35968093062,13,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
12,-193340.54502772872,14,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
13,-193391.74366841145,15,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
14,-193004.9206661069,16,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
15,-192619.30769675763,17,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
16,-192547.25771343068,18,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
17,-192287.3957415946,19,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
18,-192324.04561205843,20,Thalamus,ZFM-04301,4c382977-acc0-45cd-8f8e-800182ca9395
0,-216559.60125351278,2,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
1,-207594.8722785624,3,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
2,-202108.4296031847,4,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
3,-197961.10543092847,5,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
4,-195155.76318586478,6,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
5,-193620.6108308997,7,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
6,-191599.67629801895,8,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
7,-190496.45656406647,9,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
8,-189004.71338224277,10,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
9,-188677.01361912893,11,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
10,-188239.63959569365,12,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
11,-186527.62784441354,13,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
12,-185876.4064794152,14,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
13,-185161.65037696392,15,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
14,-184547.32466676325,16,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
15,-183701.4704298603,17,Midbrain,ZFM-04301,51b611d8-77f4-47ad-907e-b920684c0d86
