state,r,p,subject,date,region,file_name
6,-0.02878952052133255,0.3631103050753172,ZFM-03321,2022-03-23,Amyg.,ZFM-03321_2022-03-23_Amyg..pickle
0,0.09350432889703895,0.0030798420987815326,ZFM-03321,2022-03-23,HPC,ZFM-03321_2022-03-23_HPC.pickle
1,0.2831510979150455,6.829785091248435e-20,ZFM-03321,2022-03-23,HPC,ZFM-03321_2022-03-23_HPC.pickle
2,-0.2608007174449056,5.185388384609604e-17,ZFM-03321,2022-03-23,HPC,ZFM-03321_2022-03-23_HPC.pickle
3,0.04543152041891723,0.15111185493650395,ZFM-03321,2022-03-23,HPC,ZFM-03321_2022-03-23_HPC.pickle
4,-0.2918801230652491,4.322037490660987e-21,ZFM-03321,2022-03-23,HPC,ZFM-03321_2022-03-23_HPC.pickle
5,-0.16318464648589345,2.1174969381638923e-07,ZFM-03321,2022-03-23,HPC,ZFM-03321_2022-03-23_HPC.pickle
6,-0.17612170575459746,2.0661284356461163e-08,ZFM-03321,2022-03-23,HPC,ZFM-03321_2022-03-23_HPC.pickle
0,-0.2590114084247585,8.587297372083629e-17,ZFM-03321,2022-03-23,M2,ZFM-03321_2022-03-23_M2.pickle
1,0.5936786205510127,2.830481244091392e-96,ZFM-03321,2022-03-23,M2,ZFM-03321_2022-03-23_M2.pickle
2,-0.025065856877529803,0.4284860446072669,ZFM-03321,2022-03-23,M2,ZFM-03321_2022-03-23_M2.pickle
3,-0.3209219893433297,2.176631126049983e-25,ZFM-03321,2022-03-23,M2,ZFM-03321_2022-03-23_M2.pickle
4,-0.11824217450446324,0.00017851812860091398,ZFM-03321,2022-03-23,M2,ZFM-03321_2022-03-23_M2.pickle
5,-0.09944826332398737,0.0016399549480464663,ZFM-03321,2022-03-23,M2,ZFM-03321_2022-03-23_M2.pickle
6,-0.1919070799269422,9.475974928618734e-10,ZFM-03321,2022-03-23,M2,ZFM-03321_2022-03-23_M2.pickle
0,-0.28096504258140864,1.342889953786255e-19,ZFM-03321,2022-03-23,mPFC,ZFM-03321_2022-03-23_mPFC.pickle
1,-0.11269623699881164,0.0003560404113540227,ZFM-03321,2022-03-23,mPFC,ZFM-03321_2022-03-23_mPFC.pickle
2,-0.26249479684652655,3.204870879016657e-17,ZFM-03321,2022-03-23,mPFC,ZFM-03321_2022-03-23_mPFC.pickle
