,log_likelihood,n_states,subject,pid,region
7,-30219.894222259947,9,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Thalamus
8,-30240.501818694833,10,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Thalamus
9,-30183.64424158881,11,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Thalamus
10,-30185.091843669656,12,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Thalamus
0,-11596.367851628293,2,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Frontal cortex
1,-11470.361650114955,3,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Frontal cortex
2,-11377.55893698066,4,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Frontal cortex
3,-11302.03467325819,5,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Frontal cortex
4,-11252.643186594334,6,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Frontal cortex
5,-11258.062774092528,7,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Frontal cortex
6,-11229.99945421879,8,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Frontal cortex
7,-11195.99406142901,9,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Frontal cortex
8,-11201.83975652754,10,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Frontal cortex
9,-11186.07512462823,11,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Frontal cortex
10,-11116.452812257192,12,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Frontal cortex
0,-7135.916397574743,2,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Sensory cortex
1,-7087.45752189458,3,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Sensory cortex
2,-6978.327510036077,4,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Sensory cortex
3,-6901.559688683973,5,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Sensory cortex
4,-6862.186008077076,6,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Sensory cortex
5,-6805.711014201956,7,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Sensory cortex
6,-6769.484373118809,8,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Sensory cortex
7,-6799.249615190136,9,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Sensory cortex
8,-6731.090433165018,10,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Sensory cortex
9,-6750.857238144565,11,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Sensory cortex
10,-6735.329280107265,12,ZFM-04083,ac9a1b86-f421-4bef-a613-3579684f8720,Sensory cortex
0,-3892.4739590653185,2,ZFM-04083,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb,Midbrain
1,-3798.386282663784,3,ZFM-04083,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb,Midbrain
2,-3796.1874169734083,4,ZFM-04083,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb,Midbrain
3,-3785.8980572255077,5,ZFM-04083,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb,Midbrain
4,-3755.954278950835,6,ZFM-04083,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb,Midbrain
5,-3743.3810766178835,7,ZFM-04083,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb,Midbrain
6,-3760.519785697029,8,ZFM-04083,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb,Midbrain
7,-3719.914860581487,9,ZFM-04083,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb,Midbrain
8,-3718.952870860287,10,ZFM-04083,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb,Midbrain
9,-3724.4326955984816,11,ZFM-04083,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb,Midbrain
10,-3745.8685341158703,12,ZFM-04083,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb,Midbrain
0,-1831.7905047418685,2,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Frontal cortex
1,-1811.615447306597,3,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Frontal cortex
2,-1791.3778460636327,4,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Frontal cortex
3,-1798.3705001886303,5,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Frontal cortex
4,-1786.6340026055227,6,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Frontal cortex
5,-1774.9189922539954,7,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Frontal cortex
6,-1745.085643840303,8,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Frontal cortex
7,-1751.7726746096223,9,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Frontal cortex
8,-1741.3312715569145,10,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Frontal cortex
9,-1745.452772677809,11,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Frontal cortex
10,-1752.7151334396656,12,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Frontal cortex
0,-763.914106789543,2,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Striatum
1,-734.612609402329,3,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Striatum
2,-722.8459625722827,4,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Striatum
3,-717.0935846907848,5,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Striatum
4,-713.381431104962,6,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Striatum
5,-726.4603723603252,7,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Striatum
6,-714.4050808202259,8,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Striatum
7,-699.6773229608488,9,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Striatum
